noisy_error_mm,kabsch_error_mm,opt_no_filter_error_mm,opt_error_mm,kabsch_rotation_error_deg,opt_no_filter_rotation_error_deg,opt_rotation_error_deg,kabsch_translation_error_mm,opt_no_filter_translation_error_mm,opt_translation_error_mm,noisy_center_error_mm,kabsch_center_error_mm,opt_no_filter_center_error_mm,opt_center_error_mm
439.8987522402584,317.7845703097614,178.7924031364273,178.86058362914727,22.097463513811064,12.354345597273438,12.354345597273438,204.1218615164045,124.11488014296272,124.23144694554225,204.1218615164045,204.12186151640452,124.11488014296273,124.23144694554225
414.65421391687937,239.1681951531766,131.7416917780084,132.72169305296592,13.971182190679496,9.949368350348646,9.949368350348646,180.80274841297268,78.2095681307391,80.31940267758681,180.80274841297265,180.80274841297268,78.20956813073907,80.31940267758677
398.65489540017165,159.69175117418567,93.1793425131241,94.12686592141284,8.166097750031707,7.663810169671518,7.663810169671518,140.18142263067597,43.910302883007084,45.842436763668175,140.18142263067597,140.18142263067602,43.91030288300709,45.842436763668154
432.5576427005511,208.00512683336734,66.43274557332249,66.10523975898364,12.73706048858176,5.939724789698349,5.939724789698349,167.91839511483067,19.795398904765463,18.507657002089154,167.91839511483067,167.91839511483067,19.795398904765463,18.507657002089154
383.70953499454725,147.04205507643852,55.249589270257644,55.43208450424295,11.898964105963794,4.911802150561955,4.911802150561955,71.16991101188115,18.274703414876644,18.36987419822992,71.16991101188115,71.16991101188115,18.274703414876683,18.36987419822995
496.8541114575561,268.19942875200456,67.69314403846226,64.85354278937326,11.820204149851591,4.451791128634209,4.4517911286338805,237.3802580544631,52.6576959732011,47.44505521707619,237.38025805446307,237.38025805446304,52.65769597320104,47.44505521707613
417.46020755843307,171.9568843026049,86.11162285300517,82.33497723724025,9.562117323851144,3.998480800813559,3.998480800813559,142.60250376032474,78.72696122284843,74.41626400209019,142.60250376032474,142.60250376032474,78.72696122284836,74.4162640020901
385.1444934188393,165.63916708240515,101.4634358237736,99.23841070378064,13.015730773405425,3.4499131497763966,3.4499131497763966,102.0660409106977,97.04599747864873,94.69253132525571,102.0660409106977,102.0660409106977,97.0459974786488,94.69253132525571
479.60195237583724,329.769608034339,109.85316696666999,111.47821608836873,13.829205290945215,2.738775699949682,2.7387756999494157,306.57933415953386,107.38076918879844,109.0574614093435,306.57933415953386,306.57933415953386,107.38076918879838,109.0574614093435
473.0870900088667,298.7833408999246,113.88025455569152,122.5404809636436,11.336586746453566,2.452848861735379,2.4528488617356765,269.63356709088424,112.02948492023224,120.85565645013666,269.63356709088424,269.63356709088424,112.02948492023208,120.85565645013666
518.7141948680759,330.4707579963576,128.34994124982612,132.458045831092,28.451960238107905,2.091785316048557,2.0917853160482083,156.39467776478907,127.18754654138594,131.33644724559858,156.39467776478907,156.3946777647891,127.18754654138594,131.33644724559858
484.2660036810227,346.8939186811994,143.20392982917852,137.16559381757935,7.025154002634429,1.9750598597315117,1.9750598597315117,342.05495874142815,142.27614271247947,136.19844056418216,342.05495874142815,342.05495874142815,142.2761427124794,136.19844056418216
310.8281009355509,218.8122315348808,137.77931947700728,129.6838397893135,7.695916546783106,2.2568758582943564,2.2568758582943564,204.67613575509762,136.4894140217033,128.32995667559624,204.67613575509762,204.67613575509762,136.4894140217033,128.32995667559624
